entity,record_identifier,field,issue_type,severity,description,whether_corrected,safe_reference
Passenger,P1236,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1236' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1236
Passenger,P1252,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1252' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1252
Passenger,P1331,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1331' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1331
Passenger,P1408,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1408' is shared by 3 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1408
Passenger,P1413,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1413' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1413
Passenger,P1469,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1469' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1469
Passenger,P1542,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1542' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1542
Passenger,P1615,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1615' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1615
Passenger,P1630,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1630' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1630
Passenger,P1695,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1695' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1695
Passenger,P1711,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1711' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1711
Passenger,P1727,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1727' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1727
Passenger,P1728,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1728' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1728
Passenger,P1781,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1781' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1781
Passenger,P1807,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1807' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1807
Passenger,P1811,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1811' is shared by 3 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1811
Passenger,P1858,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1858' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1858
Passenger,P1875,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1875' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1875
Passenger,P1889,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1889' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1889
Passenger,P1905,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1905' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1905
Passenger,P1912,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1912' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1912
Passenger,P1931,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1931' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1931
Passenger,P1944,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1944' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1944
Passenger,P1982,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1982' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1982
Passenger,P1985,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1985' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1985
Passenger,P1991,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1991' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1991
Passenger,P1994,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1994' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1994
Passenger,P1999,passenger_id,PASSENGER_ID_COLLISION,HIGH,Passenger ID 'P1999' is shared by 2 distinct individuals. Assigned unique surrogate keys to preserve all distinct passengers.,FLAGGED,Collision ID: P1999
Payment,PAY1018,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1018
Payment,PAY1019,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1019
Payment,PAY1024,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1024
Payment,PAY1026,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1026
Payment,PAY1033,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1033
Payment,PAY1060,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1060
Payment,PAY1069,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1069
Payment,PAY1071,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1071
Payment,PAY1077,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1077
Payment,PAY1173,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1173
Payment,PAY1184,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1184
Payment,PAY1186,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1186
Payment,PAY1207,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1207
Payment,PAY1213,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1213
Payment,PAY1220,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1220
Payment,PAY1244,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1244
Payment,PAY1249,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1249
Payment,PAY1256,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1256
Payment,PAY1269,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1269
Payment,PAY1273,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1273
Payment,PAY1283,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1283
Payment,PAY1290,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1290
Payment,PAY1311,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1311
Payment,PAY1323,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1323
Payment,PAY1328,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1328
Payment,PAY1344,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1344
Payment,PAY1361,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1361
Payment,PAY1387,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1387
Payment,PAY1392,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1392
Payment,PAY1408,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1408
Payment,PAY1428,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1428
Payment,PAY1433,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1433
Payment,PAY1448,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1448
Payment,PAY1450,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1450
Payment,PAY1456,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1456
Payment,PAY1460,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1460
Payment,PAY1488,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1488
Payment,PAY1534,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1534
Payment,PAY1548,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1548
Payment,PAY1568,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1568
Payment,PAY1576,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1576
Payment,PAY1581,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1581
Payment,PAY1590,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1590
Payment,PAY1591,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1591
Payment,PAY1599,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1599
Payment,PAY1615,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1615
Payment,PAY1623,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1623
Payment,PAY1644,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1644
Payment,PAY1657,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1657
Payment,PAY1664,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1664
Payment,PAY1677,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1677
Payment,PAY1683,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1683
Payment,PAY1700,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1700
Payment,PAY1704,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1704
Payment,PAY1705,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1705
Payment,PAY1710,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1710
Payment,PAY1721,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1721
Payment,PAY1739,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1739
Payment,PAY1742,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1742
Payment,PAY1748,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1748
Payment,PAY1756,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1756
Payment,PAY1757,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1757
Payment,PAY1766,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1766
Payment,PAY1778,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1778
Payment,PAY1817,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1817
Payment,PAY1832,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1832
Payment,PAY1838,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1838
Payment,PAY1850,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1850
Payment,PAY1852,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1852
Payment,PAY1890,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1890
Payment,PAY1897,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1897
Payment,PAY1921,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1921
Payment,PAY1922,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1922
Payment,PAY1925,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1925
Payment,PAY1949,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1949
Payment,PAY1961,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1961
Payment,PAY1981,amount,INVALID_PAYMENT_AMOUNT,HIGH,Payment amount was corrupted with literal text 'INVALID'.,FLAGGED,PAY1981
Payment,PAY1992,amount,MISSING_PAYMENT_AMOUNT,HIGH,Payment amount was null/missing.,FLAGGED,PAY1992
Booking,B1015,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1015
Booking,B1033,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1033
Booking,B1045,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1045
Booking,B1097,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1097
Booking,B1098,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1098
Booking,B1214,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1214
Booking,B1223,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1223
Booking,B1237,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1237
Booking,B1238,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1238
Booking,B1245,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1245
Booking,B1270,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1270
Booking,B1273,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1273
Booking,B1279,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1279
Booking,B1312,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1312
Booking,B1357,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1357
Booking,B1360,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1360
Booking,B1389,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1389
Booking,B1396,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1396
Booking,B1401,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1401
Booking,B1413,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1413
Booking,B1421,status,MISSING_STATUS,MEDIUM,Booking status was null/empty; standardized to UNKNOWN.,YES,B1421
