booking_id,booking_date,flight_key,passenger_key,airline_key,route_key,raw_passenger_id,raw_flight_id,booking_status,is_confirmed,is_cancelled,is_pending,is_invalid,is_unknown,is_unresolved_flight,is_unresolved_passenger,gross_payment_amount,realized_revenue,payment_record_count,valid_payment_count,has_valid_payment
B1030,2026-03-18 11:37:36.951,40,981,1,8,P1946,6F236,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1031,2025-11-16 11:37:36.951,25,844,2,19,P1816,AI060,CANCELLED,0,1,0,0,0,0,0,7056.42,0.0,1,1,1
B1032,2025-09-03 11:37:36.951,23,972,4,25,P1938,UK021,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1033,2025-05-06 11:37:36.951,30,1024,4,25,P1987,UK026,UNKNOWN,0,0,0,0,1,0,0,17076.39,0.0,3,2,1
B1034,2025-12-31 11:37:36.951,48,229,3,19,P1219,SJ179,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1035,2025-08-21 11:37:36.951,10,867,1,16,P1839,6F251,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1036,2025-11-24 11:37:36.951,33,748,3,25,P1726,SJ149,PENDING,0,0,1,0,0,0,0,5144.89,0.0,1,1,1
B1037,2026-03-20 11:37:36.951,46,230,2,14,P1220,AI188,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1038,2026-01-01 11:37:36.951,27,401,3,1,P1388,SJ093,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1039,2025-08-21 11:37:36.951,26,571,3,23,P1553,SJ205,CONFIRMED,1,0,0,0,0,0,0,24656.69,24656.69,3,3,1
B1040,2025-08-08 11:37:36.951,19,666,1,29,P1646,6F099,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1041,2025-05-28 11:37:36.951,60,43,4,21,P1041,UK176,CONFIRMED,1,0,0,0,0,0,0,23580.18,23580.18,2,2,1
B1042,2025-12-02 11:37:36.951,35,695,4,13,P1675,UK200,CANCELLED,0,1,0,0,0,0,0,14402.39,0.0,1,1,1
B1043,2025-11-22 11:37:36.951,28,901,1,13,P1872,6F195,CANCELLED,0,1,0,0,0,0,0,8291.6,0.0,1,1,1
B1044,2026-04-12 11:37:36.951,31,294,1,19,P1282,6F174,PENDING,0,0,1,0,0,0,0,1199.88,0.0,1,1,1
B1045,2026-03-19 11:37:36.951,36,59,3,10,P1057,SJ214,UNKNOWN,0,0,0,0,1,0,0,6732.21,0.0,3,2,1
B1046,2025-10-14 11:37:36.951,41,841,4,25,P1813,UK059,CONFIRMED,1,0,0,0,0,0,0,26282.31,26282.31,2,2,1
B1047,2025-12-29 11:37:36.951,54,861,1,14,P1833,6F151,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1048,2025-09-19 11:37:36.951,66,553,3,27,P1536,SJ236,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1049,2025-07-28 11:37:36.951,39,74,3,18,P1072,SJ153,INVALID,0,0,0,1,0,0,0,0.0,0.0,0,0,0
B1050,2026-01-15 11:37:36.951,45,914,2,8,P1884,AI220,PENDING,0,0,1,0,0,0,0,13350.33,0.0,1,1,1
B1051,2025-07-05 11:37:36.951,51,955,1,23,P1922,6F028,CANCELLED,0,1,0,0,0,0,0,10875.08,0.0,1,1,1
B1052,2025-12-30 11:37:36.951,58,134,4,26,P1128,UK209,CANCELLED,0,1,0,0,0,0,0,9827.3,0.0,1,1,1
B1053,2026-04-01 11:37:36.951,61,616,4,30,P1598,UK216,PENDING,0,0,1,0,0,0,0,7702.52,0.0,2,2,1
B1054,2026-04-11 11:37:36.951,57,869,2,1,P1841,AI132,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1055,2025-10-14 11:37:36.951,65,441,1,14,P1425,6F012,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1056,2026-03-24 11:37:36.951,76,982,4,26,P1947,UK173,CANCELLED,0,1,0,0,0,0,0,3173.87,0.0,2,1,1
B1057,2025-08-20 11:37:36.951,37,684,3,22,P1664,SJ047,CANCELLED,0,1,0,0,0,0,0,12211.2,0.0,2,2,1
B1058,2025-12-07 11:37:36.951,59,713,3,29,P1693,SJ043,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1059,2026-01-03 11:37:36.951,55,130,4,26,P1124,UK140,CONFIRMED,1,0,0,0,0,0,0,10839.07,10839.07,1,1,1
B1060,2025-12-30 11:37:36.951,44,68,1,30,P1066,6F086,CONFIRMED,1,0,0,0,0,0,0,11681.98,11681.98,1,1,1
B1061,2026-04-05 11:37:36.951,47,6,1,10,P1005,6F114,CANCELLED,0,1,0,0,0,0,0,31579.8,0.0,3,3,1
B1062,2025-06-12 11:37:36.951,78,656,4,14,P1636,UK153,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1063,2025-05-19 11:37:36.951,67,325,1,2,P1313,6F149,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1064,2025-09-14 11:37:36.951,63,337,4,9,P1325,UK145,CONFIRMED,1,0,0,0,0,0,0,14413.72,14413.72,1,1,1
B1065,2026-03-06 11:37:36.951,69,582,4,30,P1564,UK010,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1066,2025-11-05 11:37:36.951,50,595,3,28,P1577,SJ003,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1067,2025-07-23 11:37:36.951,53,853,3,26,P1825,SJ160,PENDING,0,0,1,0,0,0,0,17433.34,0.0,3,3,1
B1068,2025-11-22 11:37:36.951,89,522,4,15,P1505,UK224,PENDING,0,0,1,0,0,0,0,5274.94,0.0,1,1,1
B1069,2025-08-02 11:37:36.951,73,83,4,7,P1081,UK152,CONFIRMED,1,0,0,0,0,0,0,14992.95,14992.95,1,1,1
B1070,2025-09-22 11:37:36.951,104,616,3,27,P1598,SJ034,CANCELLED,0,1,0,0,0,0,0,5631.13,0.0,1,1,1
B1071,2025-12-21 11:37:36.951,70,2,4,8,P1001,UK215,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1072,2025-08-10 11:37:36.951,94,212,4,9,P1203,UK089,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1073,2025-12-04 11:37:36.951,102,681,1,26,P1661,6F180,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1074,2025-09-25 11:37:36.951,109,829,1,19,P1804,6F188,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1075,2026-01-03 11:37:36.951,96,416,4,8,P1403,UK131,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1076,2025-05-04 11:37:36.951,80,-1,4,24,P1102,UK055,CONFIRMED,1,0,0,0,0,0,1,8247.5,8247.5,1,1,1
B1077,2025-05-03 11:37:36.951,81,552,4,29,P1535,UK181,PENDING,0,0,1,0,0,0,0,11261.7,0.0,2,2,1
B1078,2025-09-21 11:37:36.951,111,380,1,13,P1367,6F077,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1079,2025-06-03 11:37:36.951,116,220,3,5,P1211,SJ085,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1080,2025-06-05 11:37:36.951,72,594,3,25,P1576,SJ023,CONFIRMED,1,0,0,0,0,0,0,21169.42,21169.42,2,2,1
B1081,2025-11-13 11:37:36.951,74,995,3,14,P1960,SJ202,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1082,2025-09-09 11:37:36.951,97,217,3,9,P1208,SJ150,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1083,2025-05-12 11:37:36.951,71,786,3,23,P1762,SJ116,CANCELLED,0,1,0,0,0,0,0,6777.38,0.0,1,1,1
B1084,2025-06-14 11:37:36.951,64,927,1,25,P1896,6F270,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1085,2026-03-24 11:37:36.951,62,122,4,18,P1116,UK150,PENDING,0,0,1,0,0,0,0,11410.8,0.0,1,1,1
B1086,2026-02-16 11:37:36.951,85,646,3,7,P1627,SJ237,CONFIRMED,1,0,0,0,0,0,0,4873.96,4873.96,2,2,1
B1087,2025-05-08 11:37:36.951,92,772,2,30,P1748,AI221,CANCELLED,0,1,0,0,0,0,0,3191.92,0.0,2,2,1
B1088,2026-03-25 11:37:36.951,77,494,3,6,P1477,SJ081,PENDING,0,0,1,0,0,0,0,7375.1,0.0,1,1,1
B1089,2025-09-03 11:37:36.951,106,-1,4,5,P1104,UK189,CANCELLED,0,1,0,0,0,0,1,0.0,0.0,0,0,0
B1090,2025-05-16 11:37:36.951,83,511,3,1,P1494,SJ068,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1091,2025-08-18 11:37:36.951,75,794,1,9,P1770,6F043,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1092,2026-03-18 11:37:36.951,79,47,4,1,P1045,UK187,CONFIRMED,1,0,0,0,0,0,0,15898.93,15898.93,3,3,1
B1093,2025-05-11 11:37:36.951,82,850,4,8,P1822,UK074,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1094,2026-01-07 11:37:36.951,68,342,4,7,P1330,UK004,PENDING,0,0,1,0,0,0,0,17560.29,0.0,2,2,1
B1095,2025-07-30 11:37:36.951,86,224,1,7,P1215,6F194,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1096,2026-01-03 11:37:36.951,88,1016,4,5,P1981,UK068,PENDING,0,0,1,0,0,0,0,18163.89,0.0,2,2,1
B1097,2025-08-26 11:37:36.951,100,994,1,12,P1959,6F017,UNKNOWN,0,0,0,0,1,0,0,0.0,0.0,0,0,0
B1098,2025-10-15 11:37:36.951,101,508,1,12,P1491,6F245,UNKNOWN,0,0,0,0,1,0,0,10455.66,0.0,1,1,1
B1099,2025-12-07 11:37:36.951,119,840,1,26,P1812,6F254,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1100,2026-03-05 11:37:36.951,90,954,4,22,P1921,UK077,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1101,2025-07-19 11:37:36.951,134,872,2,29,P1844,AI029,CONFIRMED,1,0,0,0,0,0,0,2214.47,2214.47,1,1,1
B1102,2025-10-06 11:37:36.951,108,464,3,19,P1448,SJ196,INVALID,0,0,0,1,0,0,0,24626.69,0.0,2,2,1
B1103,2025-08-08 11:37:36.951,84,552,2,2,P1535,AI242,CANCELLED,0,1,0,0,0,0,0,14062.55,0.0,2,2,1
B1104,2025-09-12 11:37:36.951,84,527,2,2,P1510,AI242,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1105,2025-09-11 11:37:36.951,107,473,3,18,P1457,SJ044,CONFIRMED,1,0,0,0,0,0,0,14294.21,14294.21,1,1,1
B1106,2025-09-01 11:37:36.951,87,564,4,17,P1546,UK063,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,1,0,0
B1107,2025-05-19 11:37:36.951,131,552,2,20,P1535,AI056,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1108,2025-10-11 11:37:36.951,91,556,4,28,P1539,UK207,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1109,2025-12-03 11:37:36.951,143,500,4,25,P1483,UK166,CANCELLED,0,1,0,0,0,0,0,13080.08,0.0,1,1,1
B1110,2025-12-17 11:37:36.951,117,1010,1,13,P1975,6F261,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1111,2025-12-25 11:37:36.951,130,-1,4,23,P1999,UK134,CANCELLED,0,1,0,0,0,0,1,0.0,0.0,1,0,0
B1112,2025-10-02 11:37:36.951,103,16,1,13,P1015,6F152,PENDING,0,0,1,0,0,0,0,20662.78,0.0,2,2,1
B1113,2025-11-23 11:37:36.951,142,588,3,23,P1570,SJ089,CONFIRMED,1,0,0,0,0,0,0,9457.62,9457.62,1,1,1
B1114,2025-09-26 11:37:36.951,99,1011,1,19,P1976,6F123,CANCELLED,0,1,0,0,0,0,0,8187.33,0.0,1,1,1
B1115,2025-08-23 11:37:36.951,113,253,2,24,P1242,AI025,CONFIRMED,1,0,0,0,0,0,0,8185.02,8185.02,1,1,1
B1116,2025-12-05 11:37:36.951,121,984,1,8,P1949,6F030,CONFIRMED,1,0,0,0,0,0,0,9883.49,9883.49,1,1,1
B1117,2025-09-02 11:37:36.951,122,215,3,8,P1206,SJ222,CONFIRMED,1,0,0,0,0,0,0,24642.71,24642.71,2,2,1
B1118,2026-04-03 11:37:36.951,93,943,4,1,P1911,UK109,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,1,0,0
B1119,2025-11-25 11:37:36.951,138,282,3,26,P1270,SJ117,CANCELLED,0,1,0,0,0,0,0,22268.71,0.0,2,2,1
B1120,2025-08-12 11:37:36.951,105,784,3,12,P1760,SJ142,CONFIRMED,1,0,0,0,0,0,0,2571.48,2571.48,3,2,1
B1121,2025-06-01 11:37:36.951,105,1031,3,12,P1993,SJ142,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1122,2025-05-02 11:37:36.951,133,802,2,14,P1778,AI030,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1123,2025-09-23 11:37:36.951,98,725,1,1,P1704,6F097,CONFIRMED,1,0,0,0,0,0,0,14525.48,14525.48,2,2,1
B1124,2025-05-23 11:37:36.951,118,874,1,18,P1846,6F129,CANCELLED,0,1,0,0,0,0,0,15753.68,0.0,3,2,1
B1125,2026-01-15 11:37:36.951,110,753,1,10,P1729,6F181,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1126,2025-10-20 11:37:36.951,95,120,2,2,P1114,AI072,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1127,2025-06-29 11:37:36.951,112,597,3,4,P1579,SJ154,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1128,2026-04-08 11:37:36.951,140,310,2,20,P1298,AI031,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1129,2025-09-18 11:37:36.951,140,864,2,20,P1836,AI031,PENDING,0,0,1,0,0,0,0,12008.51,0.0,1,1,1
B1130,2025-12-26 11:37:36.951,150,499,1,15,P1482,6F158,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1131,2025-06-16 11:37:36.951,139,409,1,27,P1396,6F184,CANCELLED,0,1,0,0,0,0,0,3592.91,0.0,1,1,1
B1132,2025-06-20 11:37:36.951,132,406,4,25,P1393,UK141,CONFIRMED,1,0,0,0,0,0,0,4677.7,4677.7,3,2,1
B1133,2025-12-29 11:37:36.951,145,76,1,24,P1074,6F168,CANCELLED,0,1,0,0,0,0,0,14200.43,0.0,2,2,1
B1134,2025-07-28 11:37:36.951,125,1012,1,1,P1977,6F051,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1135,2025-12-02 11:37:36.951,128,498,1,29,P1481,6F047,CONFIRMED,1,0,0,0,0,0,0,10501.09,10501.09,1,1,1
B1136,2025-10-26 11:37:36.951,153,-1,4,26,P1102,UK156,PENDING,0,0,1,0,0,0,1,2857.01,0.0,1,1,1
B1137,2025-09-01 11:37:36.951,114,308,2,16,P1296,AI094,PENDING,0,0,1,0,0,0,0,10092.76,0.0,2,2,1
B1138,2025-07-14 11:37:36.951,160,185,2,25,P1177,AI038,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1139,2026-01-19 11:37:36.951,148,223,1,17,P1214,6F255,CONFIRMED,1,0,0,0,0,0,0,6016.05,6016.05,1,1,1
B1140,2026-01-23 11:37:36.951,147,1001,3,7,P1966,SJ025,CONFIRMED,1,0,0,0,0,0,0,8447.38,8447.38,2,1,1
B1141,2025-10-28 11:37:36.951,120,326,3,7,P1314,SJ185,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1142,2026-01-21 11:37:36.951,123,40,1,8,P1038,6F259,CANCELLED,0,1,0,0,0,0,0,4506.21,0.0,1,1,1
B1143,2026-04-07 11:37:36.951,155,270,1,18,P1258,6F073,CANCELLED,0,1,0,0,0,0,0,6360.73,0.0,1,1,1
B1144,2025-09-26 11:37:36.951,164,737,2,15,P1715,AI091,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,1,0,0
B1145,2025-08-23 11:37:36.951,115,7,1,3,P1006,6F191,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1146,2025-08-30 11:37:36.951,149,50,4,20,P1048,UK228,PENDING,0,0,1,0,0,0,0,0.0,0.0,1,0,0
B1147,2026-03-25 11:37:36.951,127,554,1,25,P1537,6F146,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1148,2025-10-13 11:37:36.951,158,168,1,4,P1160,6F068,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1149,2026-01-08 11:37:36.951,151,897,3,19,P1868,SJ218,PENDING,0,0,1,0,0,0,0,12393.75,0.0,2,2,1
B1150,2025-09-25 11:37:36.951,124,183,4,19,P1175,UK083,CONFIRMED,1,0,0,0,0,0,0,12535.73,12535.73,1,1,1
B1151,2026-01-18 11:37:36.951,175,608,3,7,P1590,SJ007,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,1,0,0
B1152,2025-08-14 11:37:36.951,129,2,2,14,P1001,AI077,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1153,2025-12-20 11:37:36.951,136,925,4,4,P1894,UK017,CANCELLED,0,1,0,0,0,0,0,5774.24,0.0,1,1,1
B1154,2026-02-17 11:37:36.951,137,470,1,29,P1454,6F229,PENDING,0,0,1,0,0,0,0,9979.51,0.0,1,1,1
B1155,2025-10-08 11:37:36.951,159,960,1,22,P1927,6F074,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1156,2026-03-25 11:37:36.951,126,663,3,15,P1643,SJ088,CONFIRMED,1,0,0,0,0,0,0,3413.47,3413.47,1,1,1
B1157,2025-06-28 11:37:36.951,135,287,3,28,P1275,SJ167,CONFIRMED,1,0,0,0,0,0,0,7902.25,7902.25,1,1,1
B1158,2025-07-20 11:37:36.951,157,514,1,8,P1497,6F234,CONFIRMED,1,0,0,0,0,0,0,14265.47,14265.47,1,1,1
B1159,2025-12-10 11:37:36.951,165,647,4,19,P1628,UK071,PENDING,0,0,1,0,0,0,0,16962.75,0.0,3,2,1
B1160,2025-11-21 11:37:36.951,141,695,2,11,P1675,AI178,CANCELLED,0,1,0,0,0,0,0,5267.38,0.0,1,1,1
B1161,2025-11-14 11:37:36.951,144,824,4,17,P1799,UK104,CONFIRMED,1,0,0,0,0,0,0,24640.24,24640.24,3,3,1
B1162,2025-04-22 11:37:36.951,168,28,2,3,P1027,AI146,INVALID,0,0,0,1,0,0,0,0.0,0.0,0,0,0
B1163,2025-11-10 11:37:36.951,178,345,3,8,P1332,SJ235,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1164,2025-04-24 11:37:36.951,190,1,1,28,P1000,6F209,CONFIRMED,1,0,0,0,0,0,0,2684.77,2684.77,1,1,1
B1165,2025-08-20 11:37:36.951,171,196,2,7,P1187,AI129,CANCELLED,0,1,0,0,0,0,0,43097.99,0.0,4,4,1
B1166,2026-01-23 11:37:36.951,176,57,3,13,P1055,SJ141,CONFIRMED,1,0,0,0,0,0,0,5530.81,5530.81,1,1,1
B1167,2026-02-02 11:37:36.951,162,564,3,7,P1546,SJ018,CANCELLED,0,1,0,0,0,0,0,27299.79,0.0,3,3,1
B1168,2025-10-14 11:37:36.951,184,117,4,24,P1111,UK120,CANCELLED,0,1,0,0,0,0,0,5435.83,0.0,1,1,1
B1169,2025-11-15 11:37:36.951,188,822,2,17,P1797,AI078,CONFIRMED,1,0,0,0,0,0,0,3795.6,3795.6,1,1,1
B1170,2025-09-14 11:37:36.951,161,321,2,11,P1309,AI079,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1171,2025-09-19 11:37:36.951,179,37,4,25,P1035,UK087,CANCELLED,0,1,0,0,0,0,0,23311.04,0.0,3,3,1
B1172,2026-01-17 11:37:36.951,174,454,4,8,P1438,UK133,CONFIRMED,1,0,0,0,0,0,0,25477.4,25477.4,3,3,1
B1173,2025-06-01 11:37:36.951,146,-1,2,8,P1728,AI222,CANCELLED,0,1,0,0,0,0,1,0.0,0.0,1,0,0
B1174,2026-04-12 11:37:36.951,177,609,1,24,P1591,6F049,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,1,0,0
B1175,2026-01-29 11:37:36.951,154,853,1,1,P1825,6F105,PENDING,0,0,1,0,0,0,0,10654.9,0.0,1,1,1
B1176,2025-04-17 11:37:36.951,189,612,3,22,P1594,SJ226,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1177,2025-07-29 11:37:36.951,194,594,3,7,P1576,SJ227,CANCELLED,0,1,0,0,0,0,0,12412.89,0.0,1,1,1
B1178,2026-02-05 11:37:36.951,152,336,1,8,P1324,6F034,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,1,0,0
B1179,2025-10-03 11:37:36.951,181,659,3,19,P1639,SJ078,CONFIRMED,1,0,0,0,0,0,0,10619.52,10619.52,3,3,1
B1180,2026-04-10 11:37:36.951,172,318,2,29,P1306,AI240,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1181,2026-03-29 11:37:36.951,205,550,3,17,P1533,SJ002,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1182,2025-08-11 11:37:36.951,187,-1,2,26,P1727,AI044,CANCELLED,0,1,0,0,0,0,1,9005.88,0.0,1,1,1
B1183,2025-06-22 11:37:36.951,203,637,4,28,P1618,UK076,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,0,0,0
B1184,2025-08-01 11:37:36.951,169,-1,1,26,P1108,6F232,PENDING,0,0,1,0,0,0,1,0.0,0.0,0,0,0
B1185,2025-08-16 11:37:36.951,197,384,3,7,P1371,SJ228,CANCELLED,0,1,0,0,0,0,0,13080.31,0.0,1,1,1
B1186,2026-04-04 11:37:36.951,156,369,3,18,P1356,SJ074,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1187,2025-08-04 11:37:36.951,207,189,4,24,P1180,UK229,PENDING,0,0,1,0,0,0,0,6625.76,0.0,1,1,1
B1188,2026-04-04 11:37:36.951,193,368,2,1,P1355,AI208,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1189,2025-11-23 11:37:36.951,166,695,2,7,P1675,AI019,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1190,2025-05-23 11:37:36.951,209,69,1,6,P1067,6F029,PENDING,0,0,1,0,0,0,0,0.0,0.0,0,0,0
B1191,2025-04-27 11:37:36.951,163,303,1,16,P1291,6F018,CONFIRMED,1,0,0,0,0,0,0,0.0,0.0,0,0,0
B1192,2025-06-23 11:37:36.951,185,711,2,13,P1691,AI059,CANCELLED,0,1,0,0,0,0,0,0.0,0.0,1,0,0
